"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"149983","occ","10063","","13281","Orodromeus makelai","species","64338","Campanian","","83.6","72.1","7404","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Thescelosauridae","Orodromeus","-112.182777","47.812500","US","Montana","Teton","based on nearby landmark","seconds","outcrop","coordinates are for nearby town of Choteau, MT"
"149984","occ","","","13282","Maiasaura peeblesorum","species","55574","Campanian","","83.6","72.1","4406","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Maiasaura","-112.182777","47.812500","US","Montana","Teton","based on nearby landmark","seconds","outcrop","coordinates are for nearby Choteau, Montana"
"149987","occ","","","13284","Goyocephale lattimorei","species","52838","Santonian","Maastrichtian","86.3","66","4408","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Goyocephale","102.066666","48.583332","MN","Omnogov","","based on nearby landmark","seconds","small collection","10 km W of Dzamyn Khond (60 km W of Bulgan Somon and S of the Arts Bogd Ull Mtn.) in the southern Gobi Desert, Mongolia. Coordinates are for Arts Bodg Ull Mtn."
"149988","occ","19972","","13285","Efraasia minor","species","54997","Norian","","227","208.5","19481","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Efraasia","8.978333","49.023609","DE","Baden-Württemberg","Stuttgart","stated in text","seconds","small collection","SE part of abandoned former Goessel quarry, 175 m NW of Ochsenbach church (Gauß-Krüger coordinates R 3498500, H 5431825, see Benton 1994), Stromberg region. Coordinates estimated from Google Earth"
"149989","occ","22651","","13286","Tethyshadros insularis","species","161198","Early Campanian","Middle Campanian","83.6","72.1","31507","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Tethyshadros","13.588611","45.778610","IT","Friuli-Venezia Giulia","Trieste","stated in text","seconds","small collection","in the Duino-Aurisina municipality"
"150155","occ","","","13309","Neogaeornis wetzeli","species","53321","Late Maastrichtian","","72.1","66","6052","Chordata","Aves","Anseriformes","Vegaviidae","Neogaeornis","-73.116669","-36.716667","CL","Concepcíon","","based on nearby landmark","minutes","small collection","""in the west end of San Vicente Bay, southwest of Talcahuano"" (Chiappe 1991) or ""Cliff at west end of Bahía San Vicente, on the southern point of Península Tumbes"" (Olson 1992)"
"150156","occ","","","13312","Alexornis antecedens","species","53319","Santonian","","86.3","83.6","4423","Chordata","Reptilia","Alexornithiformes","Alexornithidae","Alexornis","-115.733330","30.049999","MX","Baja California","","based on political unit","minutes","small collection","10 km southwest of El Rosario (basis of coordinate)"
"150157","occ","","","13306","Yacoraitichnus avis","species","58867","Late Maastrichtian","","72.1","66","6049","Chordata","Aves","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Yacoraitichnus","-66.000000","-25.500000","AR","Salta","San Carlos","stated in text","minutes","outcrop","""in the Valle del Tonco, approximately 160 km southwest of the city of Salta""; coordinates given as 25° 23' S, 66° 5' W but map provides more specific location.  Coordinates given in Leonardi 1994.  Located 25 km SE of Quebrada de La Escalera locality, in Quebrada del Tapón, E of ""Don Otto"" miner's camp (CNEA)"
"150174","occ","26032","","13326","Massospondylus carinatus","species","56595","Hettangian","Sinemurian","201.4","192.9","38488","Chordata","Saurischia","NO_ORDER_SPECIFIED","Massospondylidae","Massospondylus","28.623056","-28.509443","ZA","Free State","Bethlehem","stated in text","seconds","outcrop","in the Golden Gate Highlands National Park. 17 km east of Clarens, along road connecting Clarens and Phuthaditjhaba"
"150240","occ","15707","","13333","Amargasaurus cazaui","species","53962","Barremian","","125.77","121.4","5970","Chordata","Saurischia","NO_ORDER_SPECIFIED","Dicraeosauridae","Amargasaurus","-70.194786","-39.481979","AR","Neuquén","Catan Lil","estimated from map","6","outcrop","2.5 km SE of bridge over the La Amarga Arroyo on National Route no. 40, Catan Lil department, Neuquén province, close to China Muerta Hill and near the house of Mr. Crespo. Stegosaur cervical from ca. 100 m from type of A. cazaui."
"150241","occ","25326","","13334","Telmatosaurus transsylvanicus","species","68153","Early Maastrichtian","","72.1","66","76545","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Telmatosaurus","22.845142","45.603615","RO","Hunedoara","","estimated from map","6","small collection","northern part of Hateg Basin, 4.5 km east of Valioara, Romania. In a vertical escarpment of Oltoane Hill (= Ultoane), Tustea Village, Hateg Basin, Hunedoara County"
"150309","occ","","","13339","Styracosaurus albertensis","species","56144","Late Campanian","","83.6","72.1","5980","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Styracosaurus","-111.565781","50.742214","CA","Alberta","","stated in text","6","small collection","north fork of Sand Creek, 12 miles below Steveville, 150 feet above R bank of river, Red Deer River, Alberta; NW 1/4, sec 35, T2-, R12, W 4th meridian"
"150310","occ","","","13340","Centrosaurus apertus","species","63911","Campanian","","83.6","72.1","5980","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Centrosaurus","-111.800003","50.730000","CA","Alberta","","based on political unit","2","small collection","north fork of Sand Creek (near mouth), 12 miles below Steveville, 50 feet above R bank of Red Deer River, Alberta"
"150311","occ","","","13341","Apatosaurus louisae","species","57752","Kimmeridgian","Tithonian","154.8","145","5981","Chordata","Saurischia","NO_ORDER_SPECIFIED","Diplodocidae","Apatosaurus","-105.187332","39.653423","US","Colorado","Jefferson","estimated from map","6","small collection","sec. 35, T4S, R70W, Morrison, Colorado; along Dinosaur Ridge"
"150350","occ","","","13352","Diplodocus carnegii","species","65917","Kimmeridgian","Tithonian","154.8","145","1808","Chordata","Saurischia","NO_ORDER_SPECIFIED","Diplodocidae","Diplodocus","-105.916199","42.152302","US","Wyoming","Albany","estimated from map","4","outcrop","Sheep Creek, 25 miles NE of Medicine Bow, WY; orig. in Carbon Co."
"150847","occ","","","13305","Patagopteryx deferrariisi","species","68529","Santonian","","86.3","83.6","6047","Chordata","Reptilia","Theropoda","NO_FAMILY_SPECIFIED","Patagopteryx","-68.234169","-38.953888","AR","Neuquén","","estimated from map","seconds","outcrop","""inside the campus of the Universidad Nacional del Comahue (UNC) in the city of Neuquén""; discovered during construction for expansion of the university; in hills along SW margin of right bank of Río Neuquén, near confluence with Río Limay"
"150848","occ","30121","","13305","Neuquenornis volans","species","100989","Santonian","","86.3","83.6","6046","Chordata","Reptilia","Theropoda","Avisauridae","Neuquenornis","-68.234169","-38.953888","AR","Neuquén","","estimated from map","seconds","outcrop","""inside the campus of the Universidad Nacional del Comahue (UNC) in the city of Neuquén""; discovered during construction for expansion of the university; in hills along SW margin of right bank of Río Neuquén, near confluence with Río Limay"
"150849","occ","","","13409","Dilophosaurus wetherilli","species","55479","Sinemurian","Pliensbachian","199.5","184.2","13844","Chordata","Reptilia","Theropoda","NO_FAMILY_SPECIFIED","Dilophosaurus","-110.320000","36.145279","US","Arizona","Coconino","stated in text","seconds","small collection","center of flat below Tuba City, 200 yards NE of road fence at dinosaur track locality, which is on the road to Moenave 0.13 miles N of Navajo 1 hwy to Tuba City. 20 miles N of Cameron, AZ in the Navajo Indian Reservation. SW 1/4, sec 34, T32N, R10E."
"150850","occ","","","13410","Dilophosaurus wetherilli","species","55479","Sinemurian","Pliensbachian","199.5","184.2","13844","Chordata","Reptilia","Theropoda","NO_FAMILY_SPECIFIED","Dilophosaurus","-110.300003","36.099998","US","Arizona","Coconino","stated in text","minutes","small collection","0.25 miles S of UCMP V4214. 20 miles N of Cameron, AZ in the Navajo Indian Reservation. Coordinates from UCMP website."
"150851","occ","18326","","13411","Graciliceratops mongoliensis","species","67674","Cenomanian","Santonian","100.5","83.6","14425","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Graciliceratops","101.331947","43.938889","MN","Omnogov","","estimated from map","seconds","small collection","Shiregin Gashun (= Sheeregeen Gashoon), northern Nemegt Basin, Mongolia"
"154975","occ","22652","","13777","Bagaceratops rozhdestvenskyi","species","52826","Middle Campanian","Late Campanian","83.6","72.1","6048","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Protoceratopsidae","Bagaceratops","99.750000","43.250000","MN","Omnogov","","stated in text","minutes","small collection","along central sayr of Khermeen Tsav, 40 km SW of westernmost part of Nemegt Basin and 50 km SW of Naran Bulak, Gobi Desert. The assumption is made that ""Khermeen Tsav"" (without ""I"" or ""II"") indicates KT I for the oldest (PMPE) expeditions."
"154986","occ","","","13776","Gobipteryx minuta","species","57334","Middle Campanian","Late Campanian","83.6","72.1","9759","Chordata","Reptilia","Theropoda","NO_FAMILY_SPECIFIED","Gobipteryx","101.125000","43.487499","MN","Omnogov","","estimated from map","seconds","outcrop","unspecified sites from throughout Khulsan locality, 6 km ESE of Nemegt locality, Nemegt Basin"
"162544","occ","","","14404","Eolambia caroljonesa","species","66500","Early Cenomanian","","100.5","93.9","78573","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Eolambia","-111.169998","38.799999","US","Utah","Emery","estimated from map","2","small collection",""
"219965","occ","30389","","22645","Iguanodon bernissartensis","species","58905","Barremian","Early Aptian","125.77","119.5","19188","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Iguanodon","3.633333","50.466667","BE","Sauerland","","based on nearby landmark","minutes","outcrop","Sainte-Barbe coal seam near Bernissart, between Mons and Tourney (= Tournai) near the French border. Accessed through several wells and shafts, including Cran du Nord, Cran du Midi, Cran aux Iguanodons"
"219971","occ","","","22648","Diplodocus longus","species","52920","Kimmeridgian","Tithonian","154.8","145","13100","Chordata","Saurischia","NO_ORDER_SPECIFIED","Diplodocidae","Diplodocus","-106.048615","42.017776","US","Wyoming","Albany","unpublished field data","seconds","outcrop","coordinates from K. Carpenter (pers. comm. to M. Carrano). at the head of a draw, near the Medicine Bow River in S-central Wyoming"
"219973","occ","12664","","22648","Stegosaurus stenops","species","56491","Kimmeridgian","Tithonian","154.8","145","58803","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Stegosauridae","Stegosaurus","-106.048615","42.017776","US","Wyoming","Albany","unpublished field data","seconds","outcrop","coordinates from K. Carpenter (pers. comm. to M. Carrano). at the head of a draw, near the Medicine Bow River in S-central Wyoming"
"219974","occ","12665","","22648","Brontosaurus excelsus","species","52982","Kimmeridgian","Tithonian","154.8","145","13281","Chordata","Saurischia","NO_ORDER_SPECIFIED","Diplodocidae","Brontosaurus","-106.048615","42.017776","US","Wyoming","Albany","unpublished field data","seconds","outcrop","coordinates from K. Carpenter (pers. comm. to M. Carrano). at the head of a draw, near the Medicine Bow River in S-central Wyoming"
"219975","occ","","","22648","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","154.8","145","13098","Chordata","Reptilia","Theropoda","NO_FAMILY_SPECIFIED","Allosaurus","-106.048615","42.017776","US","Wyoming","Albany","unpublished field data","seconds","outcrop","coordinates from K. Carpenter (pers. comm. to M. Carrano). at the head of a draw, near the Medicine Bow River in S-central Wyoming"
"219980","occ","18816","","22650","Camarasaurus lentus","species","63764","Late Kimmeridgian","","152.2","149.2","19566","Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Camarasaurus","-108.120003","43.380001","US","Wyoming","Hot Springs","based on nearby landmark","4","outcrop","both Sauropod (S) and Beside Sauropods (BS) quarries are directly adjacent and in the same layer, so are here combined as one collection. Bones from different individuals are mixed throughout."
"219990","occ","18103","","22652","Prosaurolophus maximus","species","53384","Campanian","","83.6","72.1","17718","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Prosaurolophus","-113.750000","48.630001","US","Montana","Glacier","based on nearby landmark","4","small collection",""
"219992","occ","","","22653","Maiasaura peeblesorum","species","55574","Campanian","","83.6","72.1","5724","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Maiasaura","-113.750000","48.633301","US","Montana","Teton","based on nearby landmark","4","outcrop",""
"219993","occ","12168","","22653","Orodromeus makelai","species","64338","Campanian","","83.6","72.1","7404","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Thescelosauridae","Orodromeus","-113.750000","48.633301","US","Montana","Teton","based on nearby landmark","4","outcrop",""
"220009","occ","","","22657","Tyrannosaurus rex","species","54833","Late Campanian","","83.6","72.1","5721","Chordata","Reptilia","Theropoda","Tyrannosauridae","Tyrannosaurus","-111.524582","50.727234","CA","Alberta","","stated in text","6","small collection",""
"220010","occ","13659","","22657","Centrosaurus apertus","species","63911","Late Campanian","","83.6","72.1","14847","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Centrosaurus","-111.524582","50.727234","CA","Alberta","","stated in text","6","small collection",""
"220028","occ","","","22659","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.1","5924","Chordata","Reptilia","Theropoda","Tyrannosauridae","Gorgosaurus","-111.484657","50.750553","CA","Alberta","","stated in text","6","basin","456920 N, 5622350E (NAD 27 datum) = S5, T21, R11, W of 4 (also listed as 465950mE, 5622350mN). 91.5 m S of Quarry 88"
"220033","occ","","","22663","Megapnosaurus rhodesiensis","species","55541","Hettangian","Sinemurian","201.4","192.9","5925","Chordata","Reptilia","Theropoda","Coelophysidae","Megapnosaurus","30.100000","-16.216667","ZW","Matabeleland North","Nyamandhlovu","stated in text","minutes","outcrop","Zambezi Valley"
"220038","occ","13231","","22665","Kotasaurus yamanpalliensis","species","66498","Sinemurian","Pliensbachian","199.5","184.2","43786","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Kotasaurus","79.845581","19.106924","IN","Andhra Pradesh","","estimated from map","6","outcrop","Yamanapalli (= Yemanapally), in Pranhita-Godavari Valley"
"220070","occ","37935","","22680","Plateosaurus trossingensis","species","64679","Norian","","227","208.5","75731","Chordata","Saurischia","NO_ORDER_SPECIFIED","Plateosauridae","Plateosaurus","8.016667","47.500000","CH","Aargau","","based on nearby landmark","4","outcrop","""Gruhalde"" clay quarry, Frick, Kanton Aargau, Switzerland. Quarry of the Tonwerke Keller A. G. at Frick, coordinates 642-900/262-050."
"220082","occ","","","22683","Plateosaurus trossingensis","species","64679","Norian","","227","208.5","26308","Chordata","Saurischia","NO_ORDER_SPECIFIED","Plateosauridae","Plateosaurus","8.650000","48.066669","DE","Baden-Württemberg","Freiburg","based on nearby landmark","5","outcrop","cutbank of Trosselbach (Trossel Creek), near Obere Mühle (Upper Mill)"
